127.0.0.1 - - [03/Aug/2022:12:55:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Aug/2022:12:55:09 +0530] "GET /Hello/index.html HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [03/Aug/2022:12:55:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Aug/2022:12:57:23 +0530] "GET /Hello/idea.html HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [03/Aug/2022:12:57:45 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:12:59:52 +0530] "GET /Hello/index.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:03:11 +0530] "GET /Hello/index.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:05:32 +0530] "GET /Hello/index.html HTTP/1.1" 200 2134
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:06:34 +0530] "GET /Hello/index.html HTTP/1.1" 200 2128
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:09:10 +0530] "GET /Hello/index.html HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:10:02 +0530] "GET /Hello/index.html HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:11:44 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:11:46 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:11:57 +0530] "GET /Hello/index.html HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:15:51 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:15:52 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:15:59 +0530] "GET /Hello/index.html HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:20:23 +0530] "GET /Hello/index.html HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:20:25 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:25:22 +0530] "GET /Hello/index.html HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:25:23 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:32:41 +0530] "GET /Hello/index.html HTTP/1.1" 200 2188
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:34:18 +0530] "GET /Hello/index.html HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:34:20 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:34:20 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:45:21 +0530] "GET /Hello/index.html HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:45:21 +0530] "GET /Hello/idexcss.css HTTP/1.1" 200 129
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:46:31 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:46:31 +0530] "GET /Hello/idexcss.css HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [03/Aug/2022:13:46:33 +0530] "GET /Hello/index.html HTTP/1.1" 304 -
